"Timestamp","1. What field are you in?","2. Which sector are you working in","3. What is Your Sex ","4.    What is your level of experience?","5. Are you a Paid Up Member of The Economics Association of Zambia (EAZ)?","6. Have you applied for EAZ membership?","7. You have registered as a user on the EAZ website, what was the reason for your registration?","8. Are you willing to apply and pay for membership?","9. If you answered “No” to the question above, explain the reason why","10. What assistance would you require to complete the registration process.","11. What has prevented you from applying for EAZ membership?","12. Are you aware of the benefits and opportunities that EAZ membership offers? ","13. What is your interest on the website?","14. On a scale of 1 to 5, how would you rate your willingness to pay for EAZ membership, with 1 being ""Not willing at All"" and 5 being ""Very Willing""? (1-5)","15. What factors have prevented you from activating your EAZ membership?","16. What specific incentives or changes could encourage you to activate your membership?","17. Please select your membership category from the following options","18. Which of these methods of sponsorship apply to you","19. On a Scale of 1 to 5  with 1 being not willing at all and 5 very willing, Are you willing to continue paying for the membership fees required for your specific EAZ category?  ","20. Based on your Answer to Question 19 above, give a reason for your answer.","21. On a Scale of 1 to 5 with 1 being not willing at all and 5 very willing, Are you willing to pay the membership fees for yourself? ","22. Based on your Answer to the Question above, Give a reason for your answer","23. On a scale of 1 to 5, with 1 being ""Not involved at All"" and 5 being ""Highly Involved,"" how involved are you in EAZ activities within your category?","24. What benefits would you like to receive from EAZ that you are not getting?","25. How can EAZ improve communication and engagement with members in your specific category? ","26. What recommendations would you make regarding the improvement of EAZ’s membership structure and activities within the category? "
"2024/01/19 3:27:15 pm EET","Economics","Public Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","What guarantees are there after payment ","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 3:27:25 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 3:31:07 pm EET","Economics related field","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","The payment validity time frame;","Membership validity period","","","","","","","","","",""
"2024/01/19 3:35:26 pm EET","Economics","Own","Male","0-4 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 3:43:57 pm EET","Economics","Currently a student ","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 3:53:40 pm EET","Economics","NGO","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","3","There is limited knowledge of the benefits of membership to the Association.  People should be attracted to join. That kind of information should be readily available!  ","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Increase visibility.!! I dont know much about the structure!"
"2024/01/19 3:56:26 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I could not check the fees without registration and the registration has still failed ","Yes","","Information regarding membership fees and benefits","I am not clear on the application process and requirements","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/19 3:57:48 pm EET","Economics","Student ","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/19 4:34:18 pm EET","Economics","NGO","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","4","I will pay next month after i clear the rears .","5","When financial is available ","4","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","I have no recommendations "
"2024/01/19 4:49:39 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on economic trends","","","","","","","","","","","","",""
"2024/01/19 5:20:46 pm EET","Economics","Private Sector","Male","5-10 Years","No","No","I want to become a member","Yes","","Online application process","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on economic trends","","","","","","","","","","","","",""
"2024/01/19 6:06:03 pm EET","Economics","Academia ","Male","0-4 Years","No","No","I want to become a member","Yes","","Nil","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/19 6:09:52 pm EET","Economics related field","","Male","0-4 Years","No","No","I want to become a member","No","Too costly","Online application process","Lack of finances","Yes","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 7:26:04 pm EET","Economics","Unemployed ","Male","0-4 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","I can't afford the fees","Yes","Information on economic trends","","","","","","","","","","","","",""
"2024/01/19 8:08:14 pm EET","Economics related field","Student ","Male","0-4 Years","No","No","I am interested in information related to economic development","","","","","","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/19 8:56:12 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","No","Too costly","","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 9:23:56 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","3","Haven't seen any benefits of being a paid up member, recently just paid up","3","Iam willing to pay as being a member of the association would make me be up to date with economic commentary prevailing in the country","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Increased awareness of the need to register and be a member especially for student economists"
"2024/01/19 9:43:34 pm EET","Economics related field","Private Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","","","","","","","","","","",""
"2024/01/19 9:45:08 pm EET","Economics","No working ","Male","0-4 Years","No","No","I want to become a member","Yes","Too costly","Information regarding membership fees and benefits","I am not clear on the application process and requirements","No","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 9:50:38 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","EAZ is a great organisation that I want to support","5","As above","3","","Improved website and member portal","Keep website updated"
"2024/01/19 9:53:55 pm EET","Economics","Student","Male","0-4 Years","No","No","I am interested in information related to economic development","","","","","","Information on training and employment","","","","","","","","","","","","",""
"2024/01/19 10:04:11 pm EET","Economics","Tertiary Education ","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","EAZ partly raises operational funds from membership fees ","5","I personally value the mission of the Economics Association of Zambia ","1","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Improved website and member portal","I am very new to EAZ.  I am unable to offer concrete suggestions. "
"2024/01/20 4:10:33 am EET","Economics","Public Sector","Female","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Reduce the cost of membership","","","","","","","","","",""
"2024/01/20 6:08:52 am EET","Economics","Public Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Forms to fill in","I am not clear on the application process and requirements","Yes","Information on economic trends","","","","","","","","","","","","",""
"2024/01/20 6:36:27 am EET","Economics","Student","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","It's very important to be a responsible economist member","5","It's my responsibility ","5","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","More trainee programs for student members "
"2024/01/20 7:51:50 am EET","Economics","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/20 7:54:25 am EET","","Student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/20 9:58:09 am EET","Economics","Public Sector","Male","5-10 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on economic trends","","","","","","","","","","","","",""
"2024/01/20 11:35:29 am EET","Accounts ","Private Sector","Male","0-4 Years","No","No","I am interested in information related to economic development","","","","","","Information on economic trends","","","","","","","","","","","","",""
"2024/01/20 11:53:41 am EET","Economics related field","NGO","Female","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/20 12:29:00 pm EET","Development Studies ","Non","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Membership validity period","","","","","","","","","",""
"2024/01/20 2:42:37 pm EET","Economics","Parastatal ","Male","0-4 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","3","It merely depends on what I earn and my geographical location ","3","It depends my location ","2","Mentorship programs;Employment opportunities","Personalized communication based on member interests",""
"2024/01/20 5:32:44 pm EET","Economics related field","Public Sector","Male","Above 10 Years","No","No","Membership fee too costly","No","Too costly","None","Costly membership fee","Yes","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2024/01/20 6:00:34 pm EET","Economics related field","Private Sector","Female","5-10 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","not aware","No","Information on economic trends","","","","","","","","","","","","",""
"2024/01/20 6:16:39 pm EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","the lack of creation of a flexible payment plan","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/20 8:03:34 pm EET","Economics","Not yet employeed","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","5","I am willing to pay but currently am not employed ","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Foreign members like us should be given opportunities to attend workshops, meetings and conference even if we are not yet paid up. Because we are in the association by passion"
"2024/01/20 8:13:34 pm EET","Banking ","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","5","Willingness to pay and be part of the team","5","Employment opportunities","Regular newsletters with updates","Improve on communication and  be coming up with some virtual meetings with the member"
"2024/01/20 10:54:47 pm EET","Economics related field","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Lack of clear instructions on the activation process.","Create a flexible payment plan","","","","","","","","","",""
"2024/01/21 8:07:05 pm EET","Economics","Public Sector","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2024/01/21 9:25:19 pm EET","Economics related field","Job hunting ","Male","0-4 Years","No","","I am interested in information related to economic development","","","","","","Information related to papers and research work by EAZ","","","","","","","","","","","","",""
"2024/01/21 10:16:58 pm EET","Economics","Student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints;Lack of adequate information on the payment system;Lack of clear instructions on the activation process.","Create a flexible payment plan","","","","","","","","","",""
"2024/01/21 11:50:24 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Senior","Paid for (Proceed to Q21)","","","2","The subscription amount of ZMW3,500.00 is too high for self sponsorship give the limited disposable income, particularly where there are no clear benefits accruing as a direct consequence.","3","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Personalized communication based on member interests","The Senior Economist level need to be actively engaged in debating policy issues, critic the same and offer counter proposals. This could be around matters of national interest such as a plan to increase tax. This level can be engaged to empirically test and determine the impact such would have on employees' disposable income for example. In general, a more inclusive approach to this level would help. Further, this level would also expect some recommendations to any government position that require knowledge of economics. Such would act as incentives and allow for willingness by members to meet their yearly subscriptions obligations."
"2024/01/22 9:43:51 am EET","Economics related field","NGO","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","2","","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/22 12:35:27 pm EET","Economics","PARASTATAL","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","","","Well spelt benefits on membership","","","","","","","","","",""
"2024/01/22 2:52:24 pm EET","Economics","NGO","Male","5-10 Years","No","No","I am interested in information related to economic development","","","","","","Information on training and employment","","","","","","","","","","","","",""
"2024/01/23 1:17:22 am EET","Economics related field","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Still practicing engineering but has graduated in Economics ","Once I start practicing economics","","","","","","","","","",""
"2024/01/23 6:24:31 am EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2024/01/23 9:46:20 pm EET","Economics","Private Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","Being a member of an association comes with great benefits, like:
1. Networking opportunities
2. Professional Development 
3. Access to Information, opportunities, and Resources
4. Advocacy and representation
5. Credibility and Recognition
6. Collaboration and problem-solving etc","4","Because the benefits that comes with the membership and the opportuity to grow and work with fellow like minded people to push the association's mandate and objectives","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","the current structure is okay just be more inclusive with the tertairy catergory "
"2024/01/25 2:02:06 pm EET","Economics related field","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","3","","3","Conferences and workshops;Employment opportunities","Regular newsletters with updates",""
"2024/01/30 9:40:31 am EET","Economics","Student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
